timestamp,count,condition,temp,humidity,day_of_week,hour
2023-06-01 00:00:00,4,Drizzle,28.59,72,3,0
2023-06-01 00:30:00,2,Drizzle,31.94,80,3,0
2023-06-01 01:00:00,5,Mist,23.35,96,3,1
2023-06-01 01:30:00,10,Haze,25.67,43,3,1
2023-06-01 02:00:00,9,Mist,24.8,58,3,2
2023-06-01 02:30:00,5,Clouds,22.13,68,3,2
2023-06-01 03:00:00,2,Clouds,25.73,49,3,3
2023-06-01 03:30:00,4,Haze,30.44,82,3,3
2023-06-01 04:00:00,6,Clouds,22.73,82,3,4
2023-06-01 04:30:00,6,Clouds,27.8,68,3,4
2023-06-01 05:00:00,1,Clouds,27.71,32,3,5
2023-06-01 05:30:00,7,Clouds,29.31,91,3,5
2023-06-01 06:00:00,9,Fog,25.58,70,3,6
2023-06-01 06:30:00,2,Rain,27.39,88,3,6
2023-06-01 07:00:00,30,Clouds,25.42,73,3,7
2023-06-01 07:30:00,12,Rain,34.47,72,3,7
2023-06-01 08:00:00,21,Fog,29.96,81,3,8
2023-06-01 08:30:00,30,Mist,26.02,82,3,8
2023-06-01 09:00:00,23,Fog,30.27,79,3,9
2023-06-01 09:30:00,17,Clouds,29.72,68,3,9
2023-06-01 10:00:00,9,Mist,29.72,86,3,10
2023-06-01 10:30:00,10,Fog,24.91,57,3,10
2023-06-01 11:00:00,9,Mist,28.54,76,3,11
2023-06-01 11:30:00,5,Clouds,31.29,74,3,11
2023-06-01 12:00:00,1,Clear,28.9,73,3,12
2023-06-01 12:30:00,5,Clear,29.12,58,3,12
2023-06-01 13:00:00,3,Drizzle,26.51,76,3,13
2023-06-01 13:30:00,2,Haze,24.63,88,3,13
2023-06-01 14:00:00,10,Mist,31.48,78,3,14
2023-06-01 14:30:00,2,Drizzle,29.45,78,3,14
2023-06-01 15:00:00,3,Drizzle,26.87,51,3,15
2023-06-01 15:30:00,4,Haze,29.52,77,3,15
2023-06-01 16:00:00,10,Fog,28.72,85,3,16
2023-06-01 16:30:00,2,Clouds,24.36,90,3,16
2023-06-01 17:00:00,7,Thunderstorm,30.86,59,3,17
2023-06-01 17:30:00,9,Drizzle,25.39,63,3,17
2023-06-01 18:00:00,18,Clouds,32.5,74,3,18
2023-06-01 18:30:00,21,Clear,29.05,75,3,18
2023-06-01 19:00:00,19,Clear,27.65,58,3,19
2023-06-01 19:30:00,25,Clear,31.79,71,3,19
2023-06-01 20:00:00,9,Drizzle,31.41,73,3,20
2023-06-01 20:30:00,19,Clouds,22.47,84,3,20
2023-06-01 21:00:00,4,Drizzle,25.58,71,3,21
2023-06-01 21:30:00,1,Clouds,28.47,67,3,21
2023-06-01 22:00:00,1,Haze,31.68,77,3,22
2023-06-01 22:30:00,9,Clouds,28.13,100,3,22
2023-06-01 23:00:00,1,Drizzle,26.98,61,3,23
2023-06-01 23:30:00,1,Clouds,30.93,58,3,23
2023-06-02 00:00:00,3,Fog,33.4,98,4,0
2023-06-02 00:30:00,6,Mist,28.23,45,4,0
2023-06-02 01:00:00,2,Clear,24.98,75,4,1
2023-06-02 01:30:00,3,Clouds,24.03,48,4,1
2023-06-02 02:00:00,10,Fog,21.86,80,4,2
2023-06-02 02:30:00,5,Haze,29.36,78,4,2
2023-06-02 03:00:00,7,Clear,24.75,63,4,3
2023-06-02 03:30:00,4,Fog,26.07,68,4,3
2023-06-02 04:00:00,5,Thunderstorm,19.48,89,4,4
2023-06-02 04:30:00,3,Mist,28.85,60,4,4
2023-06-02 05:00:00,6,Clear,26.64,75,4,5
2023-06-02 05:30:00,8,Haze,29.81,76,4,5
2023-06-02 06:00:00,3,Drizzle,19.53,84,4,6
2023-06-02 06:30:00,4,Clouds,28.86,78,4,6
2023-06-02 07:00:00,17,Clouds,26.05,74,4,7
2023-06-02 07:30:00,14,Drizzle,30.07,91,4,7
2023-06-02 08:00:00,19,Mist,31.3,44,4,8
2023-06-02 08:30:00,16,Rain,31.71,77,4,8
2023-06-02 09:00:00,9,Drizzle,23.91,87,4,9
2023-06-02 09:30:00,28,Mist,21.24,55,4,9
2023-06-02 10:00:00,3,Clear,26.89,48,4,10
2023-06-02 10:30:00,4,Clear,28.55,40,4,10
2023-06-02 11:00:00,2,Clear,26.2,98,4,11
2023-06-02 11:30:00,10,Clouds,24.02,59,4,11
2023-06-02 12:00:00,4,Clear,31.35,83,4,12
2023-06-02 12:30:00,3,Clear,28.04,83,4,12
2023-06-02 13:00:00,6,Haze,34.69,71,4,13
2023-06-02 13:30:00,1,Drizzle,32.31,75,4,13
2023-06-02 14:00:00,5,Drizzle,22.5,51,4,14
2023-06-02 14:30:00,4,Thunderstorm,24.36,77,4,14
2023-06-02 15:00:00,9,Mist,30.06,54,4,15
2023-06-02 15:30:00,6,Fog,31.76,75,4,15
2023-06-02 16:00:00,5,Clouds,26.81,70,4,16
2023-06-02 16:30:00,4,Fog,33.81,55,4,16
2023-06-02 17:00:00,27,Fog,27.42,91,4,17
2023-06-02 17:30:00,27,Fog,28.46,68,4,17
2023-06-02 18:00:00,25,Clear,24.34,59,4,18
2023-06-02 18:30:00,14,Rain,34.36,85,4,18
2023-06-02 19:00:00,11,Rain,27.87,60,4,19
2023-06-02 19:30:00,26,Clouds,22.4,60,4,19
2023-06-02 20:00:00,28,Clear,32.18,57,4,20
2023-06-02 20:30:00,23,Clouds,30.44,73,4,20
2023-06-02 21:00:00,0,Thunderstorm,29.11,41,4,21
2023-06-02 21:30:00,9,Haze,27.02,75,4,21
2023-06-02 22:00:00,1,Clear,28.97,73,4,22
2023-06-02 22:30:00,2,Drizzle,29.79,50,4,22
2023-06-02 23:00:00,1,Clouds,29.27,60,4,23
2023-06-02 23:30:00,3,Clouds,31.24,72,4,23
2023-06-03 00:00:00,9,Fog,25.68,74,5,0
2023-06-03 00:30:00,3,Rain,29.13,67,5,0
2023-06-03 01:00:00,4,Clear,27.76,82,5,1
2023-06-03 01:30:00,1,Drizzle,25.03,55,5,1
2023-06-03 02:00:00,9,Clouds,29.67,37,5,2
2023-06-03 02:30:00,8,Clouds,27.66,66,5,2
2023-06-03 03:00:00,6,Haze,24.94,47,5,3
2023-06-03 03:30:00,6,Clouds,26.58,100,5,3
2023-06-03 04:00:00,1,Drizzle,30.35,67,5,4
2023-06-03 04:30:00,5,Drizzle,33.93,70,5,4
2023-06-03 05:00:00,1,Haze,27.77,84,5,5
2023-06-03 05:30:00,6,Clear,29.62,73,5,5
2023-06-03 06:00:00,2,Clear,30.56,61,5,6
2023-06-03 06:30:00,3,Fog,29.69,80,5,6
2023-06-03 07:00:00,4,Thunderstorm,22.64,60,5,7
2023-06-03 07:30:00,1,Rain,27.45,51,5,7
2023-06-03 08:00:00,2,Clear,32.17,66,5,8
2023-06-03 08:30:00,3,Drizzle,29.79,99,5,8
2023-06-03 09:00:00,7,Clouds,26.82,59,5,9
2023-06-03 09:30:00,9,Haze,31.09,93,5,9
2023-06-03 10:00:00,7,Clear,28.9,91,5,10
2023-06-03 10:30:00,3,Drizzle,29.25,64,5,10
2023-06-03 11:00:00,6,Fog,26.92,78,5,11
2023-06-03 11:30:00,2,Drizzle,26.8,74,5,11
2023-06-03 12:00:00,2,Clear,31.45,64,5,12
2023-06-03 12:30:00,3,Rain,29.74,76,5,12
2023-06-03 13:00:00,3,Rain,26.14,68,5,13
2023-06-03 13:30:00,3,Clouds,27.91,69,5,13
2023-06-03 14:00:00,4,Clouds,33.0,80,5,14
2023-06-03 14:30:00,7,Fog,22.73,60,5,14
2023-06-03 15:00:00,7,Clear,29.2,81,5,15
2023-06-03 15:30:00,10,Clouds,25.57,60,5,15
2023-06-03 16:00:00,30,Clear,31.08,74,5,16
2023-06-03 16:30:00,30,Haze,31.69,77,5,16
2023-06-03 17:00:00,50,Thunderstorm,23.32,57,5,17
2023-06-03 17:30:00,50,Mist,29.52,76,5,17
2023-06-03 18:00:00,70,Clear,26.19,50,5,18
2023-06-03 18:30:00,70,Clouds,24.59,55,5,18
2023-06-03 19:00:00,90,Mist,23.09,74,5,19
2023-06-03 19:30:00,90,Rain,29.84,62,5,19
2023-06-03 20:00:00,110,Clouds,28.55,49,5,20
2023-06-03 20:30:00,110,Clear,26.2,41,5,20
2023-06-03 21:00:00,130,Haze,28.48,41,5,21
2023-06-03 21:30:00,130,Clear,29.15,47,5,21
2023-06-03 22:00:00,100,Mist,30.47,68,5,22
2023-06-03 22:30:00,100,Clear,30.11,73,5,22
2023-06-03 23:00:00,60,Clouds,26.27,51,5,23
2023-06-03 23:30:00,60,Drizzle,32.96,57,5,23
2023-06-04 00:00:00,40,Rain,25.76,89,6,0
2023-06-04 00:30:00,40,Rain,27.81,61,6,0
2023-06-04 01:00:00,5,Drizzle,27.6,65,6,1
2023-06-04 01:30:00,8,Fog,29.6,79,6,1
2023-06-04 02:00:00,6,Clear,23.4,91,6,2
2023-06-04 02:30:00,4,Rain,22.96,76,6,2
2023-06-04 03:00:00,8,Fog,23.33,70,6,3
2023-06-04 03:30:00,4,Clear,27.37,56,6,3
2023-06-04 04:00:00,6,Haze,30.25,62,6,4
2023-06-04 04:30:00,0,Rain,27.88,91,6,4
2023-06-04 05:00:00,4,Thunderstorm,26.8,94,6,5
2023-06-04 05:30:00,4,Drizzle,24.66,92,6,5
2023-06-04 06:00:00,2,Thunderstorm,30.59,75,6,6
2023-06-04 06:30:00,3,Clear,30.43,47,6,6
2023-06-04 07:00:00,7,Clouds,32.56,57,6,7
2023-06-04 07:30:00,9,Fog,27.89,59,6,7
2023-06-04 08:00:00,6,Clear,33.16,57,6,8
2023-06-04 08:30:00,1,Clouds,26.37,57,6,8
2023-06-04 09:00:00,6,Fog,26.43,70,6,9
2023-06-04 09:30:00,3,Clear,28.01,47,6,9
2023-06-04 10:00:00,4,Haze,26.06,85,6,10
2023-06-04 10:30:00,9,Fog,31.18,65,6,10
2023-06-04 11:00:00,2,Clouds,20.78,79,6,11
2023-06-04 11:30:00,6,Drizzle,29.52,48,6,11
2023-06-04 12:00:00,7,Clear,33.82,69,6,12
2023-06-04 12:30:00,9,Clouds,25.26,75,6,12
2023-06-04 13:00:00,3,Thunderstorm,28.62,40,6,13
